long,lat,group,order,region,subregion,lat_trunc,long_trunc
-76.5643539428711,42.003536224365234,2,296,new york,main,42,-76.6
-76.93677520751953,41.997806549072266,2,297,new york,main,42,-76.9
-76.97115325927734,41.997806549072266,2,298,new york,main,42,-77
-77.61286163330078,42.003536224365234,2,299,new york,main,42,-77.6
-77.76183319091797,42.003536224365234,2,300,new york,main,42,-77.8
-78.208740234375,41.997806549072266,2,301,new york,main,42,-78.2
-78.3118667602539,42.003536224365234,2,302,new york,main,42,-78.3
-78.92494201660156,42.003536224365234,2,303,new york,main,42,-78.9
-79.06244659423828,42.003536224365234,2,304,new york,main,42,-79.1
-79.61821746826172,42.003536224365234,2,305,new york,main,42,-79.6
-79.75572204589844,42.003536224365234,2,306,new york,main,42,-79.8
-79.767181396484375,42.26136779785156,2,307,new york,main,42.3,-79.8
-74.27824401855469,40.485198974609375,3,309,new york,staten island,40.5,-74.3
-74.203765869140625,40.62843704223633,3,310,new york,staten island,40.6,-74.2
-74.09490203857422,40.66281509399414,3,311,new york,staten island,40.7,-74.1
-74.0605239868164,40.61124801635742,3,312,new york,staten island,40.6,-74.1
-74.08344268798828,40.58832931518555,3,313,new york,staten island,40.6,-74.1
-74.12928009033203,40.553951263427734,3,314,new york,staten island,40.6,-74.1
-74.16365814208984,40.531036376953125,3,315,new york,staten island,40.5,-74.2
-74.18657684326172,40.50811767578125,3,316,new york,staten island,40.5,-74.2
-74.23241424560547,40.490928649902344,3,317,new york,staten island,40.5,-74.2
-74.27824401855469,40.485198974609375,3,318,new york,staten island,40.5,-74.3
-74.295440673828125,40.50811767578125,3,319,new york,staten island,40.5,-74.3
-74.289703369140625,40.51957321166992,3,320,new york,staten island,40.5,-74.3
-74.26106262207031,40.531036376953125,3,321,new york,staten island,40.5,-74.3
-74.243865966796875,40.553951263427734,3,322,new york,staten island,40.6,-74.2
-74.23241424560547,40.58259963989258,3,323,new york,staten island,40.6,-74.2
-74.22095489501953,40.61124801635742,3,324,new york,staten island,40.6,-74.2
-74.203765869140625,40.62270736694336,3,325,new york,staten island,40.6,-74.2
-74.18084716796875,40.6513557434082,3,326,new york,staten island,40.7,-74.2
-74.16938781738281,40.6513557434082,3,327,new york,staten island,40.7,-74.2
-74.14646911621094,40.65708541870117,3,328,new york,staten island,40.7,-74.1
-74.27824401855469,40.485198974609375,3,329,new york,staten island,40.5,-74.3
-72.49635314941406,40.897727966308594,4,331,new york,long island,40.9,-72.5
-72.45624542236328,40.90918731689453,4,332,new york,long island,40.9,-72.5
-72.439056396484375,40.937835693359375,4,333,new york,long island,40.9,-72.4
-72.4161376953125,40.943565368652344,4,334,new york,long island,40.9,-72.4
-72.3989486694336,40.96075439453125,4,335,new york,long island,41,-72.4
-72.393218994140625,40.983673095703125,4,336,new york,long island,41,-72.4
-72.37602996826172,41.00086212158203,4,337,new york,long island,41,-72.4
-72.347381591796875,41.00086212158203,4,338,new york,long island,41,-72.3
-72.33592224121094,41.023780822753906,4,339,new york,long island,41,-72.3
-72.31300354003906,41.00086212158203,4,340,new york,long island,41,-72.3
-72.28435516357422,41.00086212158203,4,341,new york,long island,41,-72.3
-72.26716613769531,41.0123176574707,4,342,new york,long island,41,-72.3
-72.24424743652344,41.02950668334961,4,343,new york,long island,41,-72.2
-72.215606689453125,41.01804733276367,4,344,new york,long island,41,-72.2
-72.19841003417969,41.023780822753906,4,345,new york,long island,41,-72.2
-72.18122100830078,41.04096603393555,4,346,new york,long island,41,-72.2
-72.1640396118164,41.04096603393555,4,347,new york,long island,41,-72.2
